trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
1	0	0	1	4	3	1	1	1.0	1	2012	4	1	7	13.0	56	1	1	2	778	0.1888888889999999	0.061944444	0.109444444	0.0	0.055555556	0.0	0	0.059444444	1.5	0.15	0.0	0.11215
13	1	1	1	4	3	1	5	0.0	1	2012	4	1	7	17.66666667	80	0	1	2	3379	0.844722222	0.240277778	0.241388889	0.0	0.1222222219999999	0.0	0	0.132222222	0.0	0.5	0.0	0.0651260999999999
19	4	0	1	3	3	6	5	0.0	1	2012	4	1	7	11.5	71	1	0	0	2714	0.752222222	0.1975	0.2225	0.0	0.312222222	0.0	0	0.2216666669999999	0.0	0.56	0.0	0.0864662
20	5	1	0	4	3	1	5	0.0	1	2012	4	1	7	4.0	64	1	1	1	2199	0.598333333	0.183333333	0.381666667	0.0	0.062222222	0.0	0	0.1172222219999999	0.0	0.41	0.0	0.0971563999999999
39	9	2	0	4	3	1	5	0.0	1	2012	4	1	7	13.0	10	1	0	2	1828	0.467222222	0.144444444	0.146944444	0.0	0.225	0.0	0	0.200833333	0.0	0.48	0.0	0.378976
75	14	0	4	4	3	1	5	0.0	1	2012	4	1	7	22.5	65	1	1	2	792	0.258333333	0.110555556	0.161944444	0.0	0.027222222	0.0	0	0.072222222	0.0	0.2	0.0	0.0846154
77	15	0	1	1	5	6	1	1.0	1	2012	4	1	7	11.5	40	0	1	0	1193	0.28	0.146666667	0.095	0.0	0.099444444	0.0	0	0.140833333	1.5	0.33	0.0	0.3668639999999999
87	17	3	1	4	3	1	1	1.0	1	2012	4	1	7	11.83333333	45	0	1	1	8402	1.926944444	0.521111111	0.3444444439999999	0.183333333	0.0	0.0	0	0.359444444	1.9	1.3	0.0	0.391808
96	19	3	0	3	3	1	5	0.0	1	2012	4	1	7	11.0	7	1	0	1	13815	3.331388889	1.026388889	0.099444444	0.483333333	0.138055556	0.166666667	2	0.7919444440000001	0.0	2.76	0.0	0.468257
106	22	0	0	1	3	1	1	1.0	1	2012	4	1	7	11.0	42	1	1	2	1304	0.365	0.109722222	0.218611111	0.0	0.066666667	0.0	0	0.095277778	1.5	0.26	0.0	0.131195
107	22	0	3	3	5	1	1	1.0	1	2012	4	1	7	22.75	42	1	1	2	18756	3.982777778	1.175	0.134444444	0.316666667	0.3852777779999999	0.293055556	2	0.508888889	5.8	2.63	0.0	0.348253
124	26	0	3	4	5	1	5	0.0	1	2012	4	2	1	11.0	61	0	1	2	3594	0.905	0.281111111	0.208611111	0.0	0.230555556	0.1166666669999999	1	0.1938888889999999	0.0	0.7	0.0	0.159026
